# Not yet referenced in source

# === game-logic ===
0040C460 FUN_0040c460

# === marni-dx11 ===

# === crt / seh-glue / d3d5-superseded / fmv-superseded / imports ===
00415975 [seh-glue] Direct3DTMD_SEH_Handler_975
0041597F [seh-glue] Direct3DTMD_DestructorThunk1
004159C7 [seh-glue] Direct3DTMD_SEH_Handler_9c7
004159D1 [seh-glue] Direct3DTMD_DestructorThunk2
00415A70 [seh-glue] MarniPolyhedra_DestructorThunk
00415FBB [seh-glue] CMarniExecuteBuffer_SEH_Handler_fbb
00415FC5 [seh-glue] CMarniExecuteBuffer_DestructorThunk1
0041600D [seh-glue] CMarniExecuteBuffer_SEH_Handler_00d
00416017 [seh-glue] CMarniExecuteBuffer_DestructorThunk2
0041D12A [seh-glue] sound_seh_frame_handler
0041F8C0 [seh-glue] viewport_ctor_seh
0041F90F [seh-glue] viewport_ctor_frame_handler
0041F919 [seh-glue] viewport_dtor_tail_a
0041F930 [seh-glue] viewport_dtor_seh
0041F979 [seh-glue] viewport_dtor_frame_handler
0041F983 [seh-glue] viewport_dtor_tail_b
0041F990 [seh-glue] viewport_release_texture
0041FF3E [seh-glue] PSXTexture_SEH_FrameHandler_3e
0041FF48 [seh-glue] PSXTexture_VectorDestructorIter
0041FF9E [seh-glue] PSXTexture_SEH_FrameHandler_9e
0041FFA8 [seh-glue] PSXTexture_CallDestructorBody
0041FFE7 [seh-glue] PSXTexture_SEH_FrameHandler_e7
00420043 [seh-glue] PSXTexture_SEH_FrameHandler_43
0042004D [seh-glue] PSXTexture_SEH_VectorDestructor
00420280 [seh-glue] empty_00420280
004211F0 [seh-glue] complex_obj_element_ctor_seh
00421260 [seh-glue] complex_obj_element_dtor_seh
004212A1 [seh-glue] complex_obj_element_frame_handler
004262A6 [seh-glue] TriangleDivide_SEH_Cleanup
004262BC [seh-glue] TriangleDivide_SEH_Handler
004262C6 [seh-glue] TriangleDivide_SEH_Destructor
004265E4 [seh-glue] CMarniViewport2_Convert0_SEH
004265EE [seh-glue] CMarniViewport2_Convert0_Cleanup
0042A9C0 [seh-glue] stub_return_true_a9c0
0042A9D0 [seh-glue] stub_return_true_a9d0
00430ED2 [seh-glue] d3dobj_ctor_frame_handler
00430F4A [seh-glue] d3dobj_dtor_tail
00433429 [seh-glue] bits_seh_frame_handler_4329
00433433 [seh-glue] bits_dtor_tail_4333
00437E40 [seh-glue] dead_item_drop_bounce
00444C96 [seh-glue] door_anim_viewport_dtor_tail
00446D18 [seh-glue] tmd_element_frame_handler_a
00446D40 [seh-glue] tmd_element_ctor_seh
00446D7E [seh-glue] tmd_element_frame_handler_b
00446D90 [seh-glue] tmd_element_dtor_seh
00446DC7 [seh-glue] tmd_element_frame_handler_c
00446DD1 [seh-glue] tmd_element_dtor_body
00446E23 [seh-glue] tmd_cleanup_frame_handler
00446E2D [seh-glue] tmd_element_array_cleanup
0044BAB4 [seh-glue] d3d_ctor_frame_handler_b
0044BADA [seh-glue] d3d_ctor_purecall_tail
0044F150 [seh-glue] purecall_base_ctor_seh
0044F197 [seh-glue] purecall_base_dtor_body
0045C920 [seh-glue] empty_0045c920
0046BDC0 [seh-glue] TextureArray_Init
0046BDD0 [seh-glue] TextureArray_ConstructElements
0046BDF0 [seh-glue] TextureArray_RegisterCleanup
0046BE00 [seh-glue] TextureArray_Cleanup
0046BE20 [seh-glue] TextureElement_Constructor
0046BE5E [seh-glue] texture_elem_frame_handler_a
0046BE70 [seh-glue] TextureElement_Destructor
0046BEA7 [seh-glue] texture_elem_frame_handler_b
0046BEB1 [seh-glue] TextureElement_Clear
0046BEC0 [seh-glue] ViewportArray_Init
0046BED0 [seh-glue] ViewportArray_ConstructElements
0046BEF0 [seh-glue] ViewportArray_RegisterCleanup
0046BF00 [seh-glue] ViewportArray_Cleanup
0046BF20 [seh-glue] ViewportElement_Constructor
0046BF5E [seh-glue] viewport_elem_frame_handler
0046BF70 [seh-glue] ViewportElement_Destructor
0046BFA7 [seh-glue] viewport_elem_dtor_tail
0046BFB1 [seh-glue] ViewportElement_Destroy
0046BFC0 [seh-glue] PageTableArray_Init
0046BFD0 [seh-glue] PageTableArray_ConstructElements
